latitude;longitude;heat_capacity_J_per_K
-75.0;3.0;2.266664e+18
-75.0;9.0;2.266664e+18
-75.0;15.0;2.266664e+18
-75.0;21.0;2.266664e+18
-75.0;27.0;2.266664e+18
-75.0;33.0;2.266664e+18
-75.0;39.0;2.266664e+18
-75.0;45.0;2.266664e+18
-75.0;51.0;2.266664e+18
-75.0;57.0;2.266664e+18
-75.0;63.0;2.266664e+18
-75.0;69.0;2.4863037416e+18
-75.0;75.0;2.266664e+18
-75.0;81.0;2.266664e+18
-75.0;87.0;2.266664e+18
-75.0;93.0;2.266664e+18
-75.0;99.0;2.266664e+18
-75.0;105.0;2.266664e+18
-75.0;111.0;2.266664e+18
-75.0;117.0;2.266664e+18
-75.0;123.0;2.266664e+18
-75.0;129.0;2.266664e+18
-75.0;135.0;2.266664e+18
-75.0;141.0;2.266664e+18
-75.0;147.0;2.266664e+18
-75.0;153.0;2.266664e+18
-75.0;159.0;2.28130664944e+18
-75.0;165.0;4.30565293452e+18
-75.0;171.0;5.6893833066e+18
-75.0;177.0;5.92732636e+18
-69.0;-177.0;5.92732636e+18
-69.0;-171.0;5.92732636e+18
-69.0;-165.0;5.92732636e+18
-69.0;-159.0;5.92732636e+18
-69.0;-153.0;5.92732636e+18
-69.0;-147.0;5.92732636e+18
-69.0;-141.0;5.92732636e+18
-69.0;-135.0;5.92732636e+18
-69.0;-129.0;5.92732636e+18
-69.0;-123.0;5.92732636e+18
-69.0;-117.0;5.92732636e+18
-69.0;-111.0;5.92732636e+18
-69.0;-105.0;5.92732636e+18
-69.0;-99.0;5.8724164246e+18
-69.0;-93.0;5.92366569764e+18
-69.0;-87.0;5.92732636e+18
-69.0;-81.0;5.92732636e+18
-69.0;-75.0;5.60152740996e+18
-69.0;-69.0;4.34225955812e+18
-69.0;-63.0;4.18119041428e+18
-69.0;-57.0;5.92732636e+18
-69.0;-51.0;5.92732636e+18
-69.0;-45.0;5.92732636e+18
-69.0;-39.0;5.92732636e+18
-69.0;-33.0;5.92732636e+18
-69.0;-27.0;5.92732636e+18
-69.0;-21.0;5.92732636e+18
-69.0;-15.0;5.91634437292e+18
-69.0;-9.0;5.48072555208e+18
-69.0;-3.0;5.50268952624e+18
-69.0;3.0;5.23912183632e+18
-69.0;9.0;5.01216077e+18
-69.0;15.0;4.89501957448e+18
-69.0;21.0;5.103677329e+18
-69.0;27.0;5.15492660204e+18
-69.0;33.0;4.47770406544e+18
-69.0;39.0;4.33127757104e+18
-69.0;45.0;3.39048734452e+18
-69.0;51.0;2.62174824892e+18
-69.0;57.0;2.724246795e+18
-69.0;63.0;3.22941820068e+18
-69.0;69.0;4.5911845986e+18
-69.0;75.0;4.56555996208e+18
-69.0;81.0;3.4417366175600005e+18
-69.0;87.0;2.84870931524e+18
-69.0;93.0;2.6510335478e+18
-69.0;99.0;2.54487433936e+18
-69.0;105.0;2.40576916968e+18
-69.0;111.0;2.49728572868e+18
-69.0;117.0;2.90361925064e+18
-69.0;123.0;2.77183540568e+18
-69.0;129.0;2.66567619724e+18
-69.0;135.0;2.43871513092e+18
-69.0;141.0;2.7425501068e+18
-69.0;147.0;3.5295925142e+18
-69.0;153.0;3.913962062e+18
-69.0;159.0;4.50698936432e+18
-69.0;165.0;5.100016666640001e+18
-69.0;171.0;5.7625965538e+18
-69.0;177.0;5.92732636e+18
-63.0;-177.0;5.92732636e+18
-63.0;-171.0;5.92732636e+18
-63.0;-165.0;5.92732636e+18
-63.0;-159.0;5.92732636e+18
-63.0;-153.0;5.92732636e+18
-63.0;-147.0;5.92732636e+18
-63.0;-141.0;5.92732636e+18
-63.0;-135.0;5.92732636e+18
-63.0;-129.0;5.92732636e+18
-63.0;-123.0;5.92732636e+18
-63.0;-117.0;5.92732636e+18
-63.0;-111.0;5.92732636e+18
-63.0;-105.0;5.92732636e+18
-63.0;-99.0;5.92732636e+18
-63.0;-93.0;5.92732636e+18
-63.0;-87.0;5.92732636e+18
-63.0;-81.0;5.92732636e+18
-63.0;-75.0;5.92732636e+18
-63.0;-69.0;5.92732636e+18
-63.0;-63.0;5.57224211108e+18
-63.0;-57.0;5.77723920324e+18
-63.0;-51.0;5.92732636e+18
-63.0;-45.0;5.92732636e+18
-63.0;-39.0;5.92732636e+18
-63.0;-33.0;5.92732636e+18
-63.0;-27.0;5.92732636e+18
-63.0;-21.0;5.92732636e+18
-63.0;-15.0;5.92732636e+18
-63.0;-9.0;5.92732636e+18
-63.0;-3.0;5.92732636e+18
-63.0;3.0;5.92732636e+18
-63.0;9.0;5.92732636e+18
-63.0;15.0;5.92732636e+18
-63.0;21.0;5.92732636e+18
-63.0;27.0;5.92732636e+18
-63.0;33.0;5.92732636e+18
-63.0;39.0;5.92732636e+18
-63.0;45.0;5.92732636e+18
-63.0;51.0;5.91634437292e+18
-63.0;57.0;5.91634437292e+18
-63.0;63.0;5.92732636e+18
-63.0;69.0;5.92732636e+18
-63.0;75.0;5.92732636e+18
-63.0;81.0;5.92732636e+18
-63.0;87.0;5.92732636e+18
-63.0;93.0;5.92732636e+18
-63.0;99.0;5.89804106112e+18
-63.0;105.0;5.9090230482e+18
-63.0;111.0;5.89804106112e+18
-63.0;117.0;5.92732636e+18
-63.0;123.0;5.92732636e+18
-63.0;129.0;5.92732636e+18
-63.0;135.0;5.92732636e+18
-63.0;141.0;5.92732636e+18
-63.0;147.0;5.92732636e+18
-63.0;153.0;5.92732636e+18
-63.0;159.0;5.92732636e+18
-63.0;165.0;5.92732636e+18
-63.0;171.0;5.92732636e+18
-63.0;177.0;5.92732636e+18
-57.0;-177.0;5.92732636e+18
-57.0;-171.0;5.92732636e+18
-57.0;-165.0;5.92732636e+18
-57.0;-159.0;5.92732636e+18
-57.0;-153.0;5.92732636e+18
-57.0;-147.0;5.92732636e+18
-57.0;-141.0;5.92732636e+18
-57.0;-135.0;5.92732636e+18
-57.0;-129.0;5.92732636e+18
-57.0;-123.0;5.92732636e+18
-57.0;-117.0;5.92732636e+18
-57.0;-111.0;5.92732636e+18
-57.0;-105.0;5.92732636e+18
-57.0;-99.0;5.92732636e+18
-57.0;-93.0;5.92732636e+18
-57.0;-87.0;5.92732636e+18
-57.0;-81.0;5.92732636e+18
-57.0;-75.0;5.90536238584e+18
-57.0;-69.0;5.37456634364e+18
-57.0;-63.0;5.89804106112e+18
-57.0;-57.0;5.92732636e+18
-57.0;-51.0;5.92732636e+18
-57.0;-45.0;5.92732636e+18
-57.0;-39.0;5.87973774932e+18
-57.0;-33.0;5.92366569764e+18
-57.0;-27.0;5.92366569764e+18
-57.0;-21.0;5.92732636e+18
-57.0;-15.0;5.92732636e+18
-57.0;-9.0;5.92732636e+18
-57.0;-3.0;5.92732636e+18
-57.0;3.0;5.92732636e+18
-57.0;9.0;5.92732636e+18
-57.0;15.0;5.92732636e+18
-57.0;21.0;5.92732636e+18
-57.0;27.0;5.92732636e+18
-57.0;33.0;5.92732636e+18
-57.0;39.0;5.92732636e+18
-57.0;45.0;5.92732636e+18
-57.0;51.0;5.92732636e+18
-57.0;57.0;5.92732636e+18
-57.0;63.0;5.92732636e+18
-57.0;69.0;5.92732636e+18
-57.0;75.0;5.92732636e+18
-57.0;81.0;5.92732636e+18
-57.0;87.0;5.92732636e+18
-57.0;93.0;5.92732636e+18
-57.0;99.0;5.92732636e+18
-57.0;105.0;5.92732636e+18
-57.0;111.0;5.92732636e+18
-57.0;117.0;5.92732636e+18
-57.0;123.0;5.92732636e+18
-57.0;129.0;5.92732636e+18
-57.0;135.0;5.92732636e+18
-57.0;141.0;5.92732636e+18
-57.0;147.0;5.92732636e+18
-57.0;153.0;5.92732636e+18
-57.0;159.0;5.92366569764e+18
-57.0;165.0;5.92732636e+18
-57.0;171.0;5.92732636e+18
-57.0;177.0;5.92732636e+18
-51.0;-177.0;5.92732636e+18
-51.0;-171.0;5.92732636e+18
-51.0;-165.0;5.92732636e+18
-51.0;-159.0;5.92732636e+18
-51.0;-153.0;5.92732636e+18
-51.0;-147.0;5.92732636e+18
-51.0;-141.0;5.92732636e+18
