Latitude,Longitude,Power_W_m2
-87.0,-177.0,507.62975224245577
-87.0,-171.0,506.89245393102976
-87.0,-165.0,505.42593530276747
-87.0,-159.0,503.24626384264866
-87.0,-153.0,500.3773204873161
-87.0,-147.0,496.85053798053593
-87.0,-141.0,492.7045564894788
-87.0,-135.0,487.98480025496343
-87.0,-129.0,482.7429799139676
-87.0,-123.0,477.0365259470685
-87.0,-117.0,470.92795945808
-87.0,-111.0,464.4842071797551
-87.0,-105.0,457.7758682104968
-87.0,-99.0,450.87644051586267
-87.0,-93.0,443.86151566947314
-87.0,-87.0,436.8079506559126
-87.0,-81.0,429.79302580952304
-87.0,-75.0,422.89359811488896
-87.0,-69.0,416.18525914563065
-87.0,-63.0,409.74150686730576
-87.0,-57.0,403.6329403783172
-87.0,-51.0,397.9264864114182
-87.0,-45.0,392.6846660704222
-87.0,-39.0,387.9649098359069
-87.0,-33.0,383.81892834484984
-87.0,-27.0,380.29214583806964
-87.0,-21.0,377.4232024827371
-87.0,-15.0,375.2435310226183
-87.0,-9.0,373.77701239435595
-87.0,-3.0,373.03971408293
-87.0,3.0,373.03971408293
-87.0,9.0,373.777012394356
-87.0,15.0,375.2435310226183
-87.0,21.0,377.4232024827371
-87.0,27.0,380.29214583806964
-87.0,33.0,383.81892834484984
-87.0,39.0,387.9649098359069
-87.0,45.0,392.68466607042234
-87.0,51.0,397.9264864114182
-87.0,57.0,403.6329403783172
-87.0,63.0,409.74150686730576
-87.0,69.0,416.18525914563077
-87.0,75.0,422.89359811488896
-87.0,81.0,429.79302580952304
-87.0,87.0,436.80795065591263
-87.0,93.0,443.86151566947314
-87.0,99.0,450.8764405158627
-87.0,105.0,457.7758682104968
-87.0,111.0,464.4842071797551
-87.0,117.0,470.92795945808
-87.0,123.0,477.0365259470686
-87.0,129.0,482.7429799139676
-87.0,135.0,487.98480025496355
-87.0,141.0,492.7045564894789
-87.0,147.0,496.85053798053593
-87.0,153.0,500.3773204873161
-87.0,159.0,503.24626384264866
-87.0,165.0,505.42593530276747
-87.0,171.0,506.8924539310298
-87.0,177.0,507.62975224245577
-81.0,-177.0,636.6580926080578
-81.0,-171.0,634.4542756683694
-81.0,-165.0,630.0707872685624
-81.0,-159.0,623.5556538248487
-81.0,-153.0,614.9802565026172
-81.0,-147.0,604.4385491494475
-81.0,-141.0,592.0460289170948
-81.0,-135.0,577.9384708505265
-81.0,-129.0,562.2704403081163
-81.0,-123.0,545.2135995112328
-81.0,-117.0,526.9548267770205
-81.0,-111.0,507.6941690404487
-81.0,-105.0,487.64265009823123
-81.0,-99.0,467.0199585879494
-81.0,-93.0,446.0520410333654
-81.0,-87.0,424.9686263270257
-81.0,-81.0,404.0007087724416
-81.0,-75.0,383.3780172621598
-81.0,-69.0,363.32649831994235
-81.0,-63.0,344.0658405833707
-81.0,-57.0,325.8070678491582
-81.0,-51.0,308.75022705227474
-81.0,-45.0,293.0821965098645
-81.0,-39.0,278.9746384432963
-81.0,-33.0,266.5821182109437
-81.0,-27.0,256.04041085777385
-81.0,-21.0,247.46501353554234
-81.0,-15.0,240.94988009182876
-81.0,-9.0,236.56639169202165
-81.0,-3.0,234.36257475233336
-81.0,3.0,234.36257475233336
-81.0,9.0,236.56639169202168
-81.0,15.0,240.94988009182876
-81.0,21.0,247.46501353554234
-81.0,27.0,256.0404108577739
-81.0,33.0,266.5821182109437
-81.0,39.0,278.97463844329627
-81.0,45.0,293.0821965098646
-81.0,51.0,308.75022705227485
-81.0,57.0,325.8070678491582
-81.0,63.0,344.0658405833707
-81.0,69.0,363.3264983199424
-81.0,75.0,383.37801726215974
-81.0,81.0,404.0007087724416
-81.0,87.0,424.9686263270258
-81.0,93.0,446.0520410333654
-81.0,99.0,467.01995858794953
-81.0,105.0,487.6426500982314
-81.0,111.0,507.6941690404487
-81.0,117.0,526.9548267770205
-81.0,123.0,545.2135995112329
-81.0,129.0,562.2704403081163
-81.0,135.0,577.9384708505266
-81.0,141.0,592.0460289170949
-81.0,147.0,604.4385491494475
-81.0,153.0,614.9802565026173
-81.0,159.0,623.5556538248488
-81.0,165.0,630.0707872685624
-81.0,171.0,634.4542756683695
-81.0,177.0,636.6580926080578
-75.0,-177.0,758.7110736817749
-75.0,-171.0,755.0648835933938
-75.0,-165.0,747.8124518382541
-75.0,-159.0,737.0332375763343
-75.0,-153.0,722.8453401347833
-75.0,-147.0,705.4042050869796
-75.0,-141.0,684.9009211582985
-75.0,-135.0,661.560126618051
-75.0,-129.0,635.6375480955952
-75.0,-123.0,607.4171987858714
-75.0,-117.0,577.2082667414049
-75.0,-111.0,545.3417273433001
-75.0,-105.0,512.1667170657047
-75.0,-99.0,478.0467082635374
-75.0,-93.0,443.3555268933056
-75.0,-87.0,408.47325679769756
