Latitude,Longitude,Power_W_m2
-87.0,-177.0,0.0
-87.0,-171.0,0.0
-87.0,-165.0,0.0
-87.0,-159.0,0.0
-87.0,-153.0,0.0
-87.0,-147.0,0.0
-87.0,-141.0,0.0
-87.0,-135.0,0.0
-87.0,-129.0,0.0
-87.0,-123.0,0.0
-87.0,-117.0,0.0
-87.0,-111.0,0.0
-87.0,-105.0,0.0
-87.0,-99.0,0.0
-87.0,-93.0,0.0
-87.0,-87.0,0.0
-87.0,-81.0,0.0
-87.0,-75.0,0.0
-87.0,-69.0,0.0
-87.0,-63.0,0.0
-87.0,-57.0,0.0
-87.0,-51.0,0.0
-87.0,-45.0,0.0
-87.0,-39.0,0.0
-87.0,-33.0,0.0
-87.0,-27.0,0.0
-87.0,-21.0,0.0
-87.0,-15.0,0.0
-87.0,-9.0,0.0
-87.0,-3.0,0.0
-87.0,3.0,0.0
-87.0,9.0,0.0
-87.0,15.0,0.0
-87.0,21.0,0.0
-87.0,27.0,0.0
-87.0,33.0,0.0
-87.0,39.0,0.0
-87.0,45.0,0.0
-87.0,51.0,0.0
-87.0,57.0,0.0
-87.0,63.0,0.0
-87.0,69.0,0.0
-87.0,75.0,0.0
-87.0,81.0,0.0
-87.0,87.0,0.0
-87.0,93.0,0.0
-87.0,99.0,0.0
-87.0,105.0,0.0
-87.0,111.0,0.0
-87.0,117.0,0.0
-87.0,123.0,0.0
-87.0,129.0,0.0
-87.0,135.0,0.0
-87.0,141.0,0.0
-87.0,147.0,0.0
-87.0,153.0,0.0
-87.0,159.0,0.0
-87.0,165.0,0.0
-87.0,171.0,0.0
-87.0,177.0,0.0
-81.0,-177.0,0.0
-81.0,-171.0,0.0
-81.0,-165.0,0.0
-81.0,-159.0,0.0
-81.0,-153.0,0.0
-81.0,-147.0,0.0
-81.0,-141.0,0.0
-81.0,-135.0,0.0
-81.0,-129.0,0.0
-81.0,-123.0,0.0
-81.0,-117.0,0.0
-81.0,-111.0,0.0
-81.0,-105.0,0.0
-81.0,-99.0,0.0
-81.0,-93.0,0.0
-81.0,-87.0,0.0
-81.0,-81.0,0.0
-81.0,-75.0,0.0
-81.0,-69.0,0.0
-81.0,-63.0,0.0
-81.0,-57.0,0.0
-81.0,-51.0,0.0
-81.0,-45.0,0.0
-81.0,-39.0,0.0
-81.0,-33.0,0.0
-81.0,-27.0,0.0
-81.0,-21.0,0.0
-81.0,-15.0,0.0
-81.0,-9.0,0.0
-81.0,-3.0,0.0
-81.0,3.0,0.0
-81.0,9.0,0.0
-81.0,15.0,0.0
-81.0,21.0,0.0
-81.0,27.0,0.0
-81.0,33.0,0.0
-81.0,39.0,0.0
-81.0,45.0,0.0
-81.0,51.0,0.0
-81.0,57.0,0.0
-81.0,63.0,0.0
-81.0,69.0,0.0
-81.0,75.0,0.0
-81.0,81.0,0.0
-81.0,87.0,0.0
-81.0,93.0,0.0
-81.0,99.0,0.0
-81.0,105.0,0.0
-81.0,111.0,0.0
-81.0,117.0,0.0
-81.0,123.0,0.0
-81.0,129.0,0.0
-81.0,135.0,0.0
-81.0,141.0,0.0
-81.0,147.0,0.0
-81.0,153.0,0.0
-81.0,159.0,0.0
-81.0,165.0,0.0
-81.0,171.0,0.0
-81.0,177.0,0.0
-75.0,-177.0,0.0
-75.0,-171.0,0.0
-75.0,-165.0,0.0
-75.0,-159.0,0.0
-75.0,-153.0,0.0
-75.0,-147.0,0.0
-75.0,-141.0,0.0
-75.0,-135.0,0.0
-75.0,-129.0,0.0
-75.0,-123.0,0.0
-75.0,-117.0,0.0
-75.0,-111.0,0.0
-75.0,-105.0,0.0
-75.0,-99.0,0.0
-75.0,-93.0,0.0
-75.0,-87.0,0.0
-75.0,-81.0,0.0
-75.0,-75.0,0.0
-75.0,-69.0,0.0
-75.0,-63.0,0.0
-75.0,-57.0,0.0
-75.0,-51.0,0.0
-75.0,-45.0,0.0
-75.0,-39.0,0.0
-75.0,-33.0,0.0
-75.0,-27.0,0.0
-75.0,-21.0,0.0
-75.0,-15.0,0.0
-75.0,-9.0,0.0
-75.0,-3.0,0.0
-75.0,3.0,0.0
-75.0,9.0,0.0
-75.0,15.0,0.0
-75.0,21.0,0.0
-75.0,27.0,0.0
-75.0,33.0,0.0
-75.0,39.0,0.0
-75.0,45.0,0.0
-75.0,51.0,0.0
-75.0,57.0,0.0
-75.0,63.0,0.0
-75.0,69.0,0.0
-75.0,75.0,0.0
-75.0,81.0,0.0
-75.0,87.0,0.0
-75.0,93.0,0.0
-75.0,99.0,0.0
-75.0,105.0,0.0
-75.0,111.0,0.0
-75.0,117.0,0.0
-75.0,123.0,0.0
-75.0,129.0,0.0
-75.0,135.0,0.0
-75.0,141.0,0.0
-75.0,147.0,0.0
-75.0,153.0,0.0
-75.0,159.0,0.0
-75.0,165.0,0.0
-75.0,171.0,0.0
-75.0,177.0,0.0
-69.0,-177.0,0.0
-69.0,-171.0,0.0
-69.0,-165.0,0.0
-69.0,-159.0,0.0
-69.0,-153.0,0.0
-69.0,-147.0,0.0
-69.0,-141.0,0.0
-69.0,-135.0,0.0
-69.0,-129.0,0.0
-69.0,-123.0,0.0
-69.0,-117.0,0.0
-69.0,-111.0,0.0
-69.0,-105.0,0.0
-69.0,-99.0,0.0
-69.0,-93.0,0.0
-69.0,-87.0,0.0
-69.0,-81.0,0.0
-69.0,-75.0,0.0
-69.0,-69.0,0.0
-69.0,-63.0,0.0
-69.0,-57.0,0.0
-69.0,-51.0,0.0
-69.0,-45.0,0.0
-69.0,-39.0,0.0
-69.0,-33.0,0.0
-69.0,-27.0,0.0
-69.0,-21.0,0.0
-69.0,-15.0,0.0
-69.0,-9.0,0.0
-69.0,-3.0,0.0
-69.0,3.0,0.0
-69.0,9.0,0.0
-69.0,15.0,0.0
-69.0,21.0,0.0
-69.0,27.0,0.0
-69.0,33.0,0.0
-69.0,39.0,0.0
-69.0,45.0,0.0
-69.0,51.0,0.0
-69.0,57.0,0.0
-69.0,63.0,0.0
-69.0,69.0,0.0
-69.0,75.0,0.0
-69.0,81.0,0.0
-69.0,87.0,0.0
-69.0,93.0,0.0
-69.0,99.0,0.0
-69.0,105.0,0.0
-69.0,111.0,0.0
-69.0,117.0,0.0
-69.0,123.0,0.0
-69.0,129.0,0.0
-69.0,135.0,0.0
-69.0,141.0,0.0
-69.0,147.0,0.0
-69.0,153.0,0.0
-69.0,159.0,0.0
-69.0,165.0,0.0
-69.0,171.0,0.0
-69.0,177.0,0.0
-63.0,-177.0,109.93697707081432
-63.0,-171.0,88.32445576992149
-63.0,-165.0,60.94511183452382
-63.0,-159.0,28.098919086274037
-63.0,-153.0,0.0
-63.0,-147.0,0.0
-63.0,-141.0,0.0
-63.0,-135.0,0.0
-63.0,-129.0,0.0
-63.0,-123.0,0.0
-63.0,-117.0,0.0
-63.0,-111.0,0.0
-63.0,-105.0,0.0
-63.0,-99.0,0.0
